Stage alignment:[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11]].
Total Constraints within Device:69336, Redundant Constraints:1296.
Gurobi Solver Solving...
Result Found Cost: 575.00.
MinExeTime:1682.0.
f_0_0,0.0.
b_0_0,410.0.
w_0_0,430.0.
f_1_0,12.0.
b_1_0,564.0.
w_1_0,584.0.
f_2_0,24.0.
b_2_0,604.0.
w_2_0,624.0.
f_3_0,36.0.
b_3_0,642.0.
w_3_0,662.0.
f_4_0,48.0.
b_4_0,682.0.
w_4_0,702.0.
f_5_0,60.0.
b_5_0,720.0.
w_5_0,740.0.
f_6_0,72.0.
b_6_0,758.0.
w_6_0,778.0.
f_7_0,84.0.
b_7_0,836.0.
w_7_0,856.0.
f_8_0,96.0.
b_8_0,874.0.
w_8_0,894.0.
f_9_0,108.0.
b_9_0,912.0.
w_9_0,932.0.
f_10_0,120.0.
b_10_0,950.0.
w_10_0,970.0.
f_11_0,132.0.
b_11_0,1008.0.
w_11_0,1028.0.
f_12_0,144.0.
b_12_0,1046.0.
w_12_0,1066.0.
f_13_0,156.0.
b_13_0,1072.0.
w_13_0,1112.0.
f_14_0,168.0.
b_14_0,1092.0.
w_14_0,1250.0.
f_15_0,180.0.
b_15_0,1118.0.
w_15_0,1256.0.
f_16_0,192.0.
b_16_0,1144.0.
w_16_0,1282.0.
f_17_0,204.0.
b_17_0,1164.0.
w_17_0,1308.0.
f_18_0,216.0.
b_18_0,1184.0.
w_18_0,1314.0.
f_19_0,228.0.
b_19_0,1204.0.
w_19_0,1320.0.
f_20_0,240.0.
b_20_0,1230.0.
w_20_0,1326.0.
f_21_0,252.0.
b_21_0,1262.0.
w_21_0,1392.0.
f_22_0,264.0.
b_22_0,1288.0.
w_22_0,1418.0.
f_23_0,276.0.
b_23_0,1332.0.
w_23_0,1424.0.
f_24_0,436.0.
b_24_0,1352.0.
w_24_0,1470.0.
f_25_0,590.0.
b_25_0,1372.0.
w_25_0,1476.0.
f_26_0,630.0.
b_26_0,1398.0.
w_26_0,1482.0.
f_27_0,668.0.
b_27_0,1430.0.
w_27_0,1488.0.
f_28_0,708.0.
b_28_0,1450.0.
w_28_0,1494.0.
f_29_0,746.0.
b_29_0,1500.0.
w_29_0,1540.0.
f_30_0,784.0.
b_30_0,1520.0.
w_30_0,1546.0.
f_31_0,862.0.
b_31_0,1552.0.
w_31_0,1612.0.
f_32_0,900.0.
b_32_0,1572.0.
w_32_0,1618.0.
f_33_0,938.0.
b_33_0,1592.0.
w_33_0,1624.0.
f_34_0,976.0.
b_34_0,1630.0.
w_34_0,1650.0.
f_35_0,1034.0.
b_35_0,1656.0.
w_35_0,1676.0.
f_0_1,13.0.
b_0_1,389.0.
w_0_1,409.0.
f_1_1,25.0.
b_1_1,543.0.
w_1_1,575.0.
f_2_1,37.0.
b_2_1,583.0.
w_2_1,637.0.
f_3_1,49.0.
b_3_1,617.0.
w_3_1,655.0.
f_4_1,61.0.
b_4_1,661.0.
w_4_1,693.0.
f_5_1,73.0.
b_5_1,699.0.
w_5_1,753.0.
f_6_1,85.0.
b_6_1,733.0.
w_6_1,791.0.
f_7_1,97.0.
b_7_1,771.0.
w_7_1,869.0.
f_8_1,109.0.
b_8_1,809.0.
w_8_1,907.0.
f_9_1,121.0.
b_9_1,887.0.
w_9_1,945.0.
f_10_1,133.0.
b_10_1,925.0.
w_10_1,963.0.
f_11_1,145.0.
b_11_1,969.0.
w_11_1,1021.0.
f_12_1,157.0.
b_12_1,1001.0.
w_12_1,1059.0.
f_13_1,169.0.
b_13_1,1027.0.
w_13_1,1065.0.
f_14_1,181.0.
b_14_1,1071.0.
w_14_1,1091.0.
f_15_1,193.0.
b_15_1,1097.0.
w_15_1,1117.0.
f_16_1,205.0.
b_16_1,1123.0.
w_16_1,1203.0.
f_17_1,217.0.
b_17_1,1143.0.
w_17_1,1229.0.
f_18_1,229.0.
b_18_1,1163.0.
w_18_1,1235.0.
f_19_1,241.0.
b_19_1,1183.0.
w_19_1,1261.0.
f_20_1,253.0.
b_20_1,1209.0.
w_20_1,1307.0.
f_21_1,265.0.
b_21_1,1241.0.
w_21_1,1313.0.
f_22_1,277.0.
b_22_1,1267.0.
w_22_1,1397.0.
f_23_1,289.0.
b_23_1,1287.0.
w_23_1,1403.0.
f_24_1,563.0.
b_24_1,1331.0.
w_24_1,1449.0.
f_25_1,603.0.
b_25_1,1351.0.
w_25_1,1461.0.
f_26_1,643.0.
b_26_1,1377.0.
w_26_1,1513.0.
f_27_1,681.0.
b_27_1,1409.0.
w_27_1,1539.0.
f_28_1,721.0.
b_28_1,1429.0.
w_28_1,1565.0.
f_29_1,759.0.
b_29_1,1467.0.
w_29_1,1591.0.
f_30_1,797.0.
b_30_1,1493.0.
w_30_1,1626.0.
f_31_1,875.0.
b_31_1,1519.0.
